Rank,Country,Population2023,YearlyChange,Trend
147,Lesotho,2330318,1.06%,Increasing
148,Guinea-Bissau,2150842,2.15%,Increasing
149,Slovenia,2119675,-0.01%,Decreasing
150,North Macedonia,2085679,-0.38%,Decreasing
151,Latvia,1830211,-1.10%,Decreasing
152,Equatorial Guinea,1714671,2.37%,Increasing
153,Trinidad and Tobago,1534937,0.25%,Increasing
154,Bahrain,1485509,0.90%,Increasing
155,Timor-Leste,1360596,1.44%,Increasing
156,Estonia,1322765,-0.25%,Decreasing
157,Mauritius,1300557,0.08%,Increasing
158,Cyprus,1260138,0.69%,Increasing
159,Eswatini,1210822,0.76%,Increasing
160,Djibouti,1136455,1.39%,Increasing
161,Réunion,981796,0.80%,Increasing
162,Fiji,936375,0.71%,Increasing
163,Comoros,852075,1.83%,Increasing
164,Guyana,813834,0.63%,Increasing
165,Bhutan,787424,0.64%,Increasing
166,Solomon Islands,740424,2.23%,Increasing
167,Macao,704149,1.29%,Increasing
168,Luxembourg,654768,1.11%,Increasing
169,Montenegro,626485,-0.10%,Decreasing
170,Suriname,623236,0.84%,Increasing
171,Cabo Verde,598682,0.93%,Increasing
172,Western Sahara,587259,1.96%,Increasing
173,Micronesia,544321,0.98%,Increasing
174,Malta,535064,0.33%,Increasing
175,Maldives,521021,-0.53%,Decreasing
176,Brunei ,452524,0.78%,Increasing
177,Bahamas,412623,0.64%,Increasing
178,Belize,410825,1.37%,Increasing
179,Guadeloupe,395839,0.02%,Increasing
180,Iceland,375318,0.65%,Increasing
181,Martinique,366981,-0.14%,Decreasing
182,Mayotte,335995,3.03%,Increasing
183,Vanuatu,334506,2.38%,Increasing
184,French Guiana,312155,2.49%,Increasing
185,French Polynesia,308872,0.85%,Increasing
186,New Caledonia,292991,1.05%,Increasing
187,Barbados,281995,0.13%,Increasing
188,Sao Tome & Principe,231856,1.97%,Increasing
189,Samoa,225681,1.48%,Increasing
190,Curaçao,192077,0.48%,Increasing
191,Saint Lucia,180251,0.22%,Increasing
